Date,T_Bill,Wilshire_5000,Russell_1000  ,Russell_2000_Value ,Russell_2000_Growth  ,Barclays_US_Bonds,Barclays_IG_Bonds ,Barclays_HY_Bonds,GSCI_Precious_Metals,EAFE_Intl_Index,FTSE_REIT_Index
20070531,0.4046,3.65837,3.60201,3.66655,4.55365,-0.56929,-0.99944,0.74748,-2.65941,1.88495,0.1047
20070629,0.3918,-1.60852,-1.91014,-2.33082,-0.56583,0.13489,-0.48934,-1.79597,-2.7488,0.15428,-9.0407
20070731,0.3962,-3.40252,-3.08883,-8.51131,-5.19212,1.23036,0.2313,-3.54107,3.09598,-1.46204,-8.79436
20070831,0.4205,1.39287,1.36088,2.00359,2.51512,1.40911,0.80923,1.36354,-0.17709,-1.53881,5.49704
20070928,0.3347,3.59226,3.81887,0.45153,2.9051,0.6831,0.77021,2.61728,10.76891,5.36908,4.24322
20071031,0.3212,1.91418,1.74333,1.08908,4.50206,0.60316,1.20099,0.59954,6.15658,3.94028,0.81519
20071130,0.3395,-4.45269,-4.26308,-7.49195,-6.90606,2.41113,0.59878,-2.16925,-1.50677,-3.26248,-8.62341
20071231,0.2921,-0.61356,-0.65108,-0.84543,0.62806,0.31907,0.15793,0.29179,6.38292,-2.24501,-4.42256
20080131,0.243,-6.05788,-5.99504,-4.10363,-9.17367,2.35808,1.01775,-1.33476,10.63951,-9.22803,-0.30489
20080229,0.1325,-3.01346,-3.0551,-3.97429,-3.46102,1.0896,0.11116,-1.36407,6.6325,1.46368,-3.84681
20080331,0.1869,-0.69331,-0.6776,1.50739,-0.58213,0.61611,-1.27037,-0.34459,-6.77178,-1.00411,3.88087
20080430,0.1025,4.98127,5.07049,3.16408,5.13821,-1.33503,0.91464,4.30969,-5.84204,5.55627,6.10124
20080530,0.0946,2.09377,1.83375,3.41893,5.66469,-0.89888,-0.95436,0.36113,2.59374,1.16386,0.75724
20080630,0.175,-8.14234,-8.3066,-9.59503,-5.96142,0.38951,-0.63978,-2.79555,4.18122,-8.1584,-11.25359
20080731,0.144,-0.86236,-1.16285,5.12633,2.32529,0.53059,-0.7475,-1.33221,-1.10476,-3.20129,2.81119
20080829,0.1282,1.56999,1.37692,4.75315,2.48429,0.76441,0.71915,0.35009,-11.13461,-4.02612,2.00677
20080930,0.153,-9.2975,-9.52698,-4.68752,-11.30245,0.48589,-7.76916,-7.97745,3.86748,-14.42438,-0.33239
20081031,0.0792,-17.56873,-17.46062,-19.97768,-21.70356,0.36165,-6.44411,-15.90679,-18.61528,-20.17354,-30.22584
20081128,0.0228,-8.00441,-7.56202,-11.58091,-12.10094,3.42761,4.06896,-9.31319,12.9473,-5.35822,-21.51377
20081231,0.0029,1.7326,1.5979,6.15163,5.42405,2.27271,6.79648,7.68359,8.18482,6.02318,15.87448
20090130,0.0023,-8.16773,-8.162,-14.28488,-7.60791,-1.2624,0.45363,5.99399,5.38599,-9.79767,-16.49391
20090227,0.0147,-10.40092,-10.33867,-13.89006,-10.35426,-0.17925,-1.96768,-3.10274,1.78419,-10.22718,-19.46352
20090331,0.0159,8.69718,8.74617,8.87854,8.97544,1.38125,-0.41279,3.18892,-1.95728,6.38745,4.40918
20090430,0.0125,10.51726,10.12217,15.86743,15.0506,-0.71994,3.47169,12.10466,-3.80063,12.96162,27.97494
20090529,0.0017,5.30111,5.53429,2.16229,3.87198,-0.45211,3.90378,6.72843,11.40971,12.01289,2.13957
20090630,0.0075,0.35355,0.24454,-0.31527,3.24001,-0.27494,2.73158,2.86395,-6.223,-0.53951,-2.46914
20090731,0.0119,7.72983,7.6313,11.56415,7.75425,0.43351,4.31731,6.08607,2.73463,9.1426,10.17912
20090831,0.0116,3.57112,3.63236,4.73304,0.97629,0.63495,1.83383,1.86485,0.48269,5.45147,12.22374
20090930,0.0079,4.06767,4.05763,5.01543,6.56623,0.55574,1.77515,5.69484,6.48535,3.84776,6.36711
20091030,0.004,-2.46566,-2.21038,-6.64072,-6.94773,0.2231,0.70282,1.79465,2.46768,-1.24497,-4.80172
20091130,0.0004,5.61454,5.89064,3.18226,3.09405,1.2224,1.43047,1.00744,13.52838,2.02684,6.84363
20091231,0.0062,2.69652,2.43455,7.57406,8.55722,-1.83677,-0.78052,3.28078,-7.4701,1.45325,6.42687
20100129,0.0028,-3.42578,-3.59833,-2.93101,-4.47278,1.3047,1.63155,1.26511,-1.54233,-4.39945,-4.67809
20100226,0.001,3.36122,3.29589,4.63688,4.36118,0.42406,0.35524,0.17458,3.10396,-0.67569,5.05742
20100331,0.0068,6.22701,6.14466,8.31766,7.94497,-0.60244,0.29897,3.13516,0.19197,6.30562,9.41872
20100430,0.0111,2.10783,1.85084,6.99691,4.19745,0.7131,1.82007,2.34382,5.98007,-1.72678,6.58052
20100528,0.0112,-7.92281,-7.92838,-8.44982,-6.61194,1.18643,-0.55124,-3.59313,2.33433,-11.3672,-5.3161
20100630,0.0127,-5.53804,-5.56697,-8.72951,-6.70988,1.32266,2.1313,1.24447,2.42401,-0.97284,-4.53316
20100730,0.0142,6.96539,6.94973,7.1382,6.61403,0.74425,1.95914,3.55601,-5.11181,9.49243,8.99368
20100831,0.0126,-4.64523,-4.47255,-7.51936,-7.29058,1.10029,1.98336,0.03653,5.83773,-3.0911,-1.40411
20100930,0.0125,9.31418,9.18792,10.73688,14.15428,0.26895,0.69912,3.01265,5.58054,9.82159,4.45505
20101029,0.0112,3.88793,3.89167,3.87434,4.3026,0.37059,0.11801,2.5827,4.7111,3.61792,4.55577
20101130,0.0114,0.52651,0.32611,2.54152,4.35834,-0.58473,-0.81126,-1.16871,3.52409,-4.78903,-1.624
20101231,0.014,6.84786,6.67531,8.30844,7.59178,-1.33766,-0.91752,1.81319,3.54419,8.10638,4.67402
20110131,0.0066,2.15098,2.40481,0.05456,-0.55739,0.28461,0.19922,2.20624,-6.62765,2.37294,3.64076
20110228,0.0122,3.57235,3.4783,5.07764,5.87945,-0.22578,0.79234,1.31072,7.79882,3.32028,4.48614
20110331,0.0067,0.35668,0.25853,1.38962,3.75131,-0.04074,-0.13333,0.32348,3.69082,-2.19592,-1.38027
20110429,0.0053,2.90378,3.00772,1.62482,3.60307,0.98664,1.71961,1.5498,11.70271,6.07633,4.89261
20110531,0.0013,-1.16482,-1.07274,-1.79135,-1.95184,1.15175,1.44404,0.48779,-5.42831,-2.8063,0.83904
20110630,0.0035,-1.75725,-1.74801,-2.45892,-2.13679,-0.06754,-0.87605,-0.97363,-3.39384,-1.22756,-2.68173
20110729,-0.0028,-2.16401,-2.17013,-3.30677,-3.91988,1.29566,2.52137,1.15897,9.49305,-1.57284,0.38634
20110831,0.0083,-5.95981,-5.758,-8.8328,-8.56508,1.61444,0.06515,-4.0025,10.89907,-9.01768,-5.05673
20110930,-0.0001,-7.65359,-7.46175,-10.92099,-11.49556,0.25303,0.2552,-3.26886,-14.06711,-9.49668,-10.41481
20111031,0.0014,11.37839,11.20883,14.4103,15.8599,-0.17478,1.78781,5.99302,7.39388,9.6473,13.31288
20111130,0.0004,-0.32354,-0.2623,-0.19984,-0.52647,0.32975,-1.96002,-2.15625,0.46398,-4.82505,-3.52746
20111230,0,0.90637,0.83587,1.56509,-0.22453,0.52964,2.13767,2.65664,-11.0788,-0.93528,4.55132
20120131,-0.0002,4.93095,4.87334,6.64716,7.48003,0.51306,2.21396,3.03585,11.98324,5.35307,6.47037
20120229,0.0031,4.23107,4.38823,1.48766,3.29392,-0.42532,0.84176,2.37485,-0.86348,5.76868,-0.66419
20120330,0.0046,3.09749,3.12908,3.10146,2.03145,-0.46359,-0.96575,-0.13916,-3.01475,-0.40425,4.39322
20120430,0.0029,-0.70756,-0.58024,-1.44694,-1.64174,0.9068,1.39568,1.04681,-1.06821,-1.84197,2.79945
20120531,0.0065,-6.14951,-6.14517,-6.11075,-7.12618,0.67091,0.75493,-1.30594,-6.74404,-11.35318,-3.94889
20120629,0.0022,3.94877,3.82845,4.82132,5.15934,-0.13008,0.3547,2.11172,2.12336,7.0496,5.88394
20120731,0.0032,1.05065,1.18611,-1.0219,-1.74449,0.58938,2.87735,1.90228,0.4537,1.14628,2.29638
20120831,0.005,2.40234,2.42814,3.08498,3.58994,0.04675,0.22228,1.1706,5.55025,2.69627,0.45828
20120928,0.0067,2.58607,2.57224,3.56258,2.99994,-0.01473,0.70191,1.39167,5.79905,2.9934,-0.89193
20121031,0.0037,-1.75159,-1.68825,-1.25408,-3.10972,-0.15793,1.28817,0.87861,-3.58006,0.84015,-0.33399
20121130,0.0085,0.665,0.79445,0.30608,0.76898,0.36683,-0.15917,0.80009,-0.0425,2.42612,-0.64077
20121231,0.0103,1.20679,1.03706,4.21328,2.87989,-0.17773,-0.06379,1.57557,-3.16175,3.2118,3.19628
20130131,0.0022,5.41799,5.42338,5.95988,6.58017,-0.38066,-0.88959,1.34053,-0.3099,5.29245,4.28299
20130228,0.0054,1.29664,1.34353,1.14137,1.06289,0.40974,0.76992,0.50781,-5.67545,-0.92347,1.29425
20130328,0.0041,3.8585,3.86055,4.16312,5.10371,0.11632,0.01937,1.0183,0.80464,0.87559,3.29206
20130430,0.0037,1.74359,1.80585,-0.09668,-0.65518,0.43993,1.82578,1.80909,-8.69749,5.33044,5.80187
20130531,0.0012,2.30656,2.22441,2.98756,5.07349,-1.00975,-2.34369,-0.58002,-5.78699,-2.3056,-6.561
20130628,0.0013,-1.27198,-1.36284,-0.40515,-0.6225,-0.80333,-2.76036,-2.6222,-12.21319,-3.52939,-2.27541
20130731,0.0009,5.43793,5.35079,6.4256,7.56467,0.11557,0.83353,1.8953,6.34186,5.28449,0.52681
20130830,0.0009,-2.88467,-2.75824,-4.42223,-1.95435,-0.44545,-0.70249,-0.60735,7.86674,-1.31199,-6.23122
20130930,0.0008,3.54904,3.48695,5.7734,6.96008,0.73612,0.6947,0.99311,-5.30001,7.41585,3.54695
